cell,e_target,feed,library_id,pair,rank,rep,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,M_HM_tU,cand_e_core,in_distribution,record_id,origin
e5.4_f113,5.4,113,ga80,N1_N2,0,min_f_r,638.422683354645,0.8772580016483515,1.5145133409443945,1.865653631163355,1392.0007637105398,0.04425184225792699,87.411270896378,24.92208452710738,53.152410363122826,102.031,5.4,False,20c7ce365ca8f789e8b6fc3c3c5fef94117b5de84b6df2ecbcc46bba7a74d2c2,elite
e5.4_f113,5.4,113,ga80,N1_N2,1,,639.5030640337186,0.9994965699328845,1.5153129581873914,1.8544475622396837,1404.4093943449418,0.04322859610011483,86.28885859811717,24.964259310847588,53.242358353223615,102.031,5.4,False,7de45f4dc0ac0d7100ebdcaa52886aaa4960b71ddc53249489c75a55dc413d64,elite
e5.4_f113,5.4,113,ga80,N1_N2,2,,639.6410817812019,1.3817166695934695,1.5163085084166403,1.8625037977110006,1401.8701930528828,0.04264943075541761,87.67057005516094,24.96964710495125,53.2538491353385,102.031,5.4,False,d12c3eca562b48858f7abadc878d6ece97f16a272be705cafc2dca40644a2f52,elite
e5.4_f113,5.4,113,ga80,N1_N2,3,,640.443612923268,1.4492038062297015,1.5171205333653621,1.8578647987935302,1413.5121301464487,0.044223481381805305,87.10843855247228,25.000975485786828,53.32066453163386,102.031,5.4,False,9ac065602becd1fbb9e2801c5494c1ea82bdbc1378dddb24c9c8f31de614e629,elite
e5.4_f113,5.4,113,ga80,N1_N2,4,,640.7635393916681,1.5905073736492126,1.5191724559107476,1.8565489920680447,1404.0432802100893,0.043451938425854805,86.50181462016897,25.013464444427882,53.34730027528424,102.031,5.4,False,64b757a7a5acdccd5449af607416d684e1608a0ed3ece0a6f78a7f518ada00e3,elite
e5.4_f113,5.4,113,ga80,N1_N2,5,,640.8556635864167,1.6528817735874866,1.5197342516384755,1.858628626310185,1409.682505292856,0.04370166076561464,86.69390899376033,25.017060693477887,53.35497015157673,102.031,5.4,False,0a60cc3ebc64dc519fb9d607553ad1f7779f5f283c78a5efc25a4d9cf9ee0a30,elite
e5.4_f113,5.4,113,ga80,N1_N2,6,,640.9120573561825,1.7206930138993086,1.5220841022320535,1.8639908554710756,1405.3986144278,0.04329076006650529,87.36552937052961,25.019262135145844,53.35966526168273,102.031,5.4,False,68f8de556d9b553ce66d403c840a3e5733f0003c49f51b4405a89702460b3458,elite
e5.4_f113,5.4,113,ga80,N1_N2,7,knee,641.7741099318199,1.8237321807648594,1.5233852083147443,1.873235621024829,1412.8845440200573,0.04240462303062454,87.76521226615245,25.05291405215474,53.43143616433002,102.031,5.4,False,339e305122d77cbe8333488c44af92048d35df75ca7b35f4051674f5f5046b5d,elite
e5.4_f113,5.4,113,ga80,N1_N2,8,,641.8367340062276,1.7081926472212452,1.5343989862969143,1.8917352954628455,1397.365222615957,0.044680952664316834,87.25226437236783,25.05535870601262,53.43664998361983,102.031,5.4,False,bba7ee30f58455828396cdb9bb7d8b4b7cee196cadd3c1a08014ac2837d3321c,guided
e5.4_f113,5.4,113,ga80,N1_N2,9,,642.244073604259,1.7802008979300492,1.5380057932936433,1.9003052002087522,1404.4723410873055,0.04230208782620469,87.1954043733733,25.071260008015287,53.47056337992641,102.031,5.4,False,d4132d5e5d75a295dc9a00072bc44d88d47b61197878e8975a74fd78db87556c,elite
