segment,feed,pair,grp,record_id,f_r_true,f_r_pred,cyclen_true,cyclen_pred,cbc_true,cbc_pred
5.0,101,A2_A8,tail,a80c2b7aeb540fe099ae4b0ecdeb663009f4638a624d08e9a0c682c29225f4e9,1.8569,1.8813557252754913,535.411,538.2670444891426,1132.29,1138.0934420214583
5.0,101,A2_A8,tail,47954de8b81aaf0acb27b322c23adbbc7def2327e72e7c3c534aafc053f9b1f1,1.8652,1.9019378662197854,535.684,539.7322527743552,1122.51,1124.9092910560496
5.0,101,A2_A8,tail,ebd4f1cd77c0153dd381dacf8371fe7ab60c2e71601aef3e2e9f9d5a69cdcfd4,1.8656,1.8933556603586497,529.129,531.0580016297318,1079.15,1093.5374983841548
5.0,101,A2_A8,tail,104adf3f04ee6ed9d01a9162a489b93ad675b8e6d0b99d41234c23599ad9f19a,1.9039,1.9272481668912005,534.352,538.4962895814845,1055.32,1079.9860540892744
5.0,101,A2_A8,tail,ff7a0f71d422c3d43d32192bdf99e9f9e74aad676b2ebb13d7f5f42a342dd792,1.9054,1.9145601176691378,542.882,547.3474837416617,1144.52,1164.2525637792437
5.0,101,A2_A8,rand,789ef25832125762b2a4f7f2c8458cbfb36818ff17495561e6b1e4161018c501,2.1863,2.1973391989982396,543.757,543.2222796430327,1164.15,1158.9735983178828
5.0,101,A2_A8,rand,82474bf82caca87a1fc4b357c91985fa31940b89ab51650313c4a1e7083ad9e2,2.1616,2.1958319045597245,528.932,531.8886062480419,1107.93,1145.6731343344766
5.0,101,A2_A8,rand,b38812aa22490cb9e4353fe7d5c6be1bbf77f0323b753dfb546bc4ee9ab1acd5,2.4568,2.4667998870811805,537.64,541.0817814509182,1298.89,1254.8290901194323
5.0,101,A2_A8,rand,cfa9743f702b97d24fdb6196e0bb508b54f2b042b2cd7de5da277af84ff6effd,2.6817,2.371089915361802,544.387,548.4116671714668,1282.56,1239.6432509651004
5.0,101,A2_A8,rand,3c8fe3b139a8f49444f82035c987f8f9743533cac8bc2bc56ef789a9dcce1156,1.9779,2.004850115203945,536.233,536.6537727989192,1088.07,1095.4536356230658
5.0,101,A2_A8,rand,8e2de0dcece3d528439e76e140be908273e27c0c67650c5892442f99a91fb5b4,2.3248,2.343059439965461,532.355,533.2492186750117,1206.57,1198.0713034932928
5.0,101,A2_A8,rand,c784d67407af03b4ae1ec0958fc6597cdeff4cc8d9268a496b6ebe57adfa3249,2.4447,2.389085861485204,538.136,537.7264873865537,1179.37,1180.2870165916459
5.0,101,A2_A8,rand,0644023e660b158d6f3d1ee65777ab8f8cd394ba912e83fba6f42229384dfe28,2.5751,2.5442904603740035,525.45,528.5787006926399,1303.27,1286.2823245751872
5.0,101,A2_A8,rand,4a37ad73f31a91116fbbda3a8864ee47cd4685c46eb627b38a27a0fc3fb88b26,2.0732,2.116299550850554,540.411,538.4935663420496,1225.79,1171.5829100008898
5.0,101,A2_A8,rand,b927aa18b41472748891cd4e8fa337c99b74c43b6a8158fe59cf2cd44c486130,2.1556,2.1495699255401792,538.687,538.4514165682374,1246.74,1209.074460206989
5.0,101,A2_A8,rand,b0b8324d3965d03bf27568f1290717b27070d7c2d51bcda61e109437ea4f8865,2.3296,2.285317540983983,541.88,545.022454674071,1354.65,1299.049678566942
5.0,101,A2_A8,rand,f9a41af77f4cf3e5ea5e62de324703e76afff5a280e61929d9bd461ac774be02,2.1296,2.1050863065356684,543.932,545.6455811547564,1199.35,1245.955482786498
5.0,101,A2_A8,rand,bd396e62f82003e847dce2a1219b98cce5ba94917a940ce195eb7796f8ffa6e4,2.0386,1.9968756322474341,538.085,537.5648563713211,1159.88,1154.5764315736535
5.0,101,A2_A8,rand,857f97e6349f4514285cbd1b919f9cb51dd9e2b8717449032a9202edba084576,2.1177,2.1165525170234116,546.818,545.0496266309913,1149.66,1178.6866475172044
5.0,101,A2_A8,rand,5c035b655105c53be575a09e6a355aef92c0a9009d97c9d2bf961a88f6037ca7,2.2618,2.347982891483276,532.0,532.7823229475463,1251.87,1198.827021657252
5.0,101,E1_E2,tail,da92b58d191f6dfef6392c12a7ae40fbcb7581bacf70f41c58b19b1cbaffe07c,1.7536,1.7875864465726048,540.559,540.9258085824005,1278.43,1246.8739050373563
5.0,101,E1_E2,tail,42f27049ac6692ebad1221a5c612111e2121c7954b20ad4f34d518c14a0c8440,1.7582,1.785740984581567,547.997,548.3994197042955,1183.58,1184.2284673632648
5.0,101,E1_E2,tail,5be491a46311320e840b49fc5dccab752405d7ed74a17144822424e0ed5feca1,1.7854,1.8569428239587187,543.204,546.014000017374,1134.86,1146.1278726089333
5.0,101,E1_E2,tail,d161d36447957f67d63c111a4220fa8a01b18c5c4cd152ec079628bd5b0518a1,1.799,1.79725112325178,548.66,544.940503890833,1138.15,1129.8821944867825
5.0,101,E1_E2,tail,2f6a111580e3abba3fef8d4b99f5e1d5d9982ab3809ea24a40e88abcc01a5a98,1.8356,1.8741123485878548,547.328,547.9079754980328,1218.21,1214.4832564260337
5.0,101,E1_E2,tail,e24a226894ed21f0ae1155a2127abe5ea74a6c131edbbe0129b4ee2bafa2546d,1.8457,2.153432118466053,533.752,535.6623181117593,1024.95,1028.6493533951996
5.0,101,E1_E2,tail,eca31e76ea072cde51286a9c4f4f69b28536354a82cf923d1690163d9298a136,1.8598,1.9381018434331887,549.183,549.4738206146957,1129.92,1161.6170863047666
5.0,101,E1_E2,tail,ffb7a8a5638192929e2b88cae072d64020ec3d1415cf801a3545b544e3c9ef31,1.8617,1.8904536181347176,545.895,544.8663993078991,1173.38,1195.0378792544864
5.0,101,E1_E2,tail,37d35c40af2916ef4bbb6f472e78768799391735c5ce4b51f069cebe114bc982,1.8715,1.8677494345269365,547.352,541.3912281962084,1106.92,1110.4102163683756
5.0,101,E1_E2,tail,59530ccf8c4342690e47aeea7fcd7bb46f61bf2e3d21e4932d3daeedbfde3df0,1.877,1.9347213055028645,548.467,544.7412665743703,1129.78,1166.0889831948073
