e_target,library_id,pair,type_a,type_b,e_core,spread,d_target,sup_pair,n_seeded_feeds,anchor_library_id,anchor_pair,anchor_type_a,anchor_type_b,anchor_e_core,anchor_d_target,anchor_sup_pair,anchor_n_seeded_feeds,anchor_is_mesh_pair,anchor_n_f109,anchor_n_f113,anchor_n_f117,anchor_n_f121,anchor_n_f125,anchor_n_f129,per_fa_tU,M_HM_tU,e_targets,n_targets,is_primary
5.0,ga80,E1_E2,E1,E2,5.0,0.0,0.0,2844,6,ga80,E1_E2,E1,E2,5.0,0.0,2844,6,True,277,134,501,1097,450,20,0.4233672,102.0314952,5.0,1,True
5.1,ga80,J1_J2,J1,J2,5.1,0.0,0.0,1343,6,ga80,J1_J2,J1,J2,5.1,0.0,1343,6,True,223,44,338,150,212,8,0.4233672,102.0314952,5.1,1,True
5.2,ga80,K1_K2,K1,K2,5.2,0.0,0.0,963,6,ga80,K1_K2,K1,K2,5.2,0.0,963,6,True,135,79,201,416,67,18,0.4233672,102.0314952,5.2,1,True
5.3,ga80,L1_L2,L1,L2,5.3,0.0,0.0,839,6,ga80,L1_L2,L1,L2,5.3,0.0,839,6,True,107,30,245,78,137,14,0.4233672,102.0314952,5.3,1,True
5.4,ga80,N1_N2,N1,N2,5.4,0.0,0.0,1332,6,ga80,N1_N2,N1,N2,5.4,0.0,1332,6,True,122,285,217,230,150,22,0.4233672,102.0314952,5.4,1,True
5.5,ga80,G3_G4,G3,G4,5.5,0.0,0.0,1599,6,ga80,G3_G4,G3,G4,5.5,0.0,1599,6,True,128,67,144,406,390,38,0.4233672,102.0314952,5.5,1,True
5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,P6253Z2G06N24,P6253Z2G10N24,5.598053478792954,0.008526782105889197,0.0019465212070457483,0,0,paramA,P6253Z2G06N24_P6253Z2G10N24,P6253Z2G06N24,P6253Z2G10N24,5.598053478792954,0.0019465212070457483,0,0,True,0,0,0,0,0,0,0.422158668,101.740238988,5.6,1,True
5.7,paramA,P5853Z1G08N12_P6253Z1G06N24,P5853Z1G08N12,P6253Z1G06N24,5.700413594677216,0.1711131393121912,0.0004135946772159116,0,0,paramA,P6253Z1G06N24_P6253Z2G10N24,P6253Z1G06N24,P6253Z2G10N24,5.694438426989009,0.005561573010990806,177,2,False,56,0,0,0,121,0,0.4237482,102.1233162,5.7,1,True
5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,P6253Z1G06N24,P6253Z1G08N20,5.8055356364252235,0.03891636517616881,0.0055356364252237,708,4,paramA,P6253Z1G08N20_P6257Z1G06N24,P6253Z1G08N20,P6257Z1G06N24,5.853104901907799,0.05310490190779937,1691,4,False,233,0,318,42,276,0,0.42292676399999996,101.92535012399999,5.8,1,True
5.9,paramA,P6253Z1G08N20_P6257Z1G10N12,P6253Z1G08N20,P6257Z1G10N12,5.908702994861528,0.16718410531067018,0.008702994861527813,0,0,paramA,P6257Z1G06N24_P6257Z1G10N12,P6257Z1G06N24,P6257Z1G10N12,5.936710591655931,0.03671059165593071,741,6,False,156,12,26,32,164,12,0.42322851599999994,101.99807235599998,5.9,1,True
6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,P6257Z1G10N12,P6656Z2G08N12,6.025507875529617,0.0665891098390663,0.025507875529616975,0,0,paramA,P6257Z1G10N12_P6656Z2G08N12,P6257Z1G10N12,P6656Z2G08N12,6.025507875529617,0.025507875529616975,0,0,True,0,0,0,0,0,0,0.424078908,102.20301682799999,6.0,1,True
6.1,paramA,P6656Z1G06N24_P6656Z2G08N12,P6656Z1G06N24,P6656Z2G08N12,6.097039053705588,0.07663778889509043,0.0029609462944115705,0,0,paramA,P6656Z1G10N16_P6656Z2G08N12,P6656Z1G10N16,P6656Z2G08N12,6.141625775257939,0.041625775257939424,1409,4,False,332,0,143,73,251,0,0.423752772,102.124418052,6.1,1,True
6.2,paramA,P6656Z1G08N20_P6661Z2G06N16,P6656Z1G08N20,P6661Z2G06N16,6.195690111147493,0.029685660833692395,0.004309888852507271,0,0,paramA,P6656Z1G10N16_P6656Z2G08N12,P6656Z1G10N16,P6656Z2G08N12,6.141625775257939,0.05837422474206111,1409,4,False,332,0,143,73,251,0,0.42354855599999996,102.07520199599999,6.2,1,True
6.3,paramA,P6661Z1G06N16_P6661Z1G08N20,P6661Z1G06N16,P6661Z1G08N20,6.303543403452695,0.033970825626910006,0.003543403452694882,0,0,paramA,P6661Z1G10N12_P6661Z1G10N20,P6661Z1G10N12,P6661Z1G10N20,6.328164983529039,0.028164983529038956,947,4,False,185,0,183,48,127,0,0.42338548800000003,102.035902608,6.3,1,True
6.4,paramA,P6661Z1G06N12_P6661Z1G10N12,P6661Z1G06N12,P6661Z1G10N12,6.364485309963365,0.004298894824405153,0.03551469003663499,0,0,paramA,P6661Z1G06N12_P6661Z1G06N16,P6661Z1G06N12,P6661Z1G06N16,6.34142839193725,0.05857160806275008,889,4,False,165,0,175,51,131,0,0.42431208,102.25921127999999,"6.4,6.5",2,True
6.5,paramA,P6661Z1G06N12_P6661Z1G10N12,P6661Z1G06N12,P6661Z1G10N12,6.364485309963365,0.004298894824405153,0.13551469003663463,0,0,paramA,P6661Z1G06N12_P6661Z1G10N12,P6661Z1G06N12,P6661Z1G10N12,6.364485309963365,0.13551469003663463,0,0,True,0,0,0,0,0,0,0.42431208,102.25921127999999,"6.4,6.5",2,False
