e_target,library_id,pair,type_a,type_b,e_core,spread,d_target,sup_pair,per_fa_tU,M_HM_tU,e_targets,n_targets,is_primary
5.0,ga80,E1_E2,E1,E2,5.0,0.0,0.0,2646,0.4233672,102.0314952,5.0,1,True
5.1,ga80,J1_J2,J1,J2,5.1,0.0,0.0,1343,0.4233672,102.0314952,5.1,1,True
5.2,ga80,K1_K2,K1,K2,5.2,0.0,0.0,852,0.4233672,102.0314952,5.2,1,True
5.3,ga80,L1_L2,L1,L2,5.3,0.0,0.0,839,0.4233672,102.0314952,5.3,1,True
5.4,ga80,N1_N2,N1,N2,5.4,0.0,0.0,1079,0.4233672,102.0314952,5.4,1,True
5.5,ga80,G3_G4,G3,G4,5.5,0.0,0.0,1599,0.4233672,102.0314952,5.5,1,True
5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,P6253Z2G06N24,P6253Z2G10N24,5.598053478792954,0.008526782105889197,0.0019465212070457483,0,0.422158668,101.740238988,5.6,1,True
5.7,paramA,P5853Z1G08N12_P6253Z1G06N24,P5853Z1G08N12,P6253Z1G06N24,5.700413594677216,0.1711131393121912,0.0004135946772159116,0,0.4237482,102.1233162,5.7,1,True
5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,P6253Z1G06N24,P6253Z1G08N20,5.8055356364252235,0.03891636517616881,0.0055356364252237,708,0.42292676399999996,101.92535012399999,5.8,1,True
5.9,paramA,P6253Z1G08N20_P6257Z1G10N12,P6253Z1G08N20,P6257Z1G10N12,5.908702994861528,0.16718410531067018,0.008702994861527813,0,0.42322851599999994,101.99807235599998,5.9,1,True
6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,P6257Z1G10N12,P6656Z2G08N12,6.025507875529617,0.0665891098390663,0.025507875529616975,0,0.424078908,102.20301682799999,6.0,1,True
