cell,e_target,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,seconds
e5.0_f105,5.0,ga80,E1_E2,5.0,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.756544537982637,578.4112636219884,578.4112636219884,1.9274477781084352,285,40,285,15,False,,,131.8
e5.0_f109,5.0,ga80,E1_E2,5.0,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6417162606856563,593.6187967510468,593.6187967510468,3.4388027591469434,3823,489,1652,177,False,,,128.6
e5.0_f113,5.0,ga80,E1_E2,5.0,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.624928990844982,612.0955188497699,612.0955188497699,2.100258577197491,459,36,459,36,False,,,133.6
e5.0_f117,5.0,ga80,E1_E2,5.0,0.0,5.0,117,0.42337,102.031,1200,1200,4,619.2372629716194,2.655144938311335,1.5484425212751154,1.9225448936182032,1286.119865209756,0.0396234483130679,79.47088822090231,24.17314392562151,49.79254432542551,1.5458736731451097,625.7492067189751,,,3579,796,2213,501,False,357c93f60e294e21b22b6a7b9d8f2b9d9c1969e4742add276994abc8dc7f76c6,elite,131.8
e5.0_f121,5.0,ga80,E1_E2,5.0,0.0,5.0,121,0.42337,102.031,1200,1200,448,640.3668709229091,0.3191354337897131,1.5446617324593022,1.939323475853828,1356.9828774686534,0.0365619185597207,70.20536359783999,24.997979710934853,49.78936454822562,1.481846047887544,642.1769813664471,,,43619,1317,3450,1097,True,6c911fc177985a42ba7a1bc1b9710c6a8911e7c78ce43eab5d1882b19ca454a7,elite,134.0
e5.2_f105,5.2,ga80,K1_K2,5.2,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6769617258809184,597.5724522204972,597.5724522204972,1.810747069592083,285,0,285,24,False,,,129.5
e5.2_f109,5.2,ga80,K1_K2,5.2,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.669133581034864,614.6490242988326,614.6490242988326,1.8419038471358185,3823,0,1652,24,False,,,132.2
e5.2_f113,5.2,ga80,K1_K2,5.2,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.608303645110993,631.5590804643163,631.5590804643163,1.6378270346851171,459,55,459,79,False,,,147.3
e5.2_f117,5.2,ga80,K1_K2,5.2,0.0,5.2,117,0.42337,102.031,1200,1200,13,644.8211103263687,0.2135070749579421,1.5461945068457656,1.943834915206858,1308.4880365631138,0.0489624490228659,73.7358638688621,25.17185970268842,51.84972810553768,1.533562916542596,647.0001470150157,,,3579,179,2213,201,False,8d3f5ec3b67bb3aa67568991bf17a4c825a2ff1cb7ee6cea8a3f9a78c2357a18,elite,129.1
e5.2_f121,5.2,ga80,K1_K2,5.2,0.0,5.2,121,0.42337,102.031,1200,1200,316,657.064137979282,0.4541083445805969,1.5469250179123564,1.941306918820299,1306.4557183427378,0.0465560868695583,73.01666163939663,25.64979035582613,51.08759897317436,1.4913065300443156,663.627789432311,,,43619,437,3450,416,True,635cf54e07ff9e15264873678a75bbffc69a69aa223f5bbaf4c409e57db439fb,elite,126.2
e5.4_f105,5.4,ga80,N1_N2,5.4,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.703198321544653,610.7612644629203,610.7612644629203,1.7999681926247824,285,52,285,17,False,,,131.6
e5.4_f109,5.4,ga80,N1_N2,5.4,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6603930096477086,630.9559119581404,630.9559119581404,1.8307473545107933,3823,122,1652,122,False,,,126.5
e5.4_f113,5.4,ga80,N1_N2,5.4,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.693104102953235,650.2277931918956,650.2277931918956,1.9684044736917228,459,76,459,32,False,,,130.2
e5.4_f117,5.4,ga80,N1_N2,5.4,0.0,,117,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5625737683976904,666.5666686837162,666.5666686837162,2.241054892119775,3579,217,2213,217,False,,,134.0
e5.4_f121,5.4,ga80,N1_N2,5.4,0.0,5.4,121,0.42337,102.031,1200,1200,174,679.8446282840704,0.5488771264011353,1.536395805870189,1.9201582575198863,1418.0497588118687,0.0493804277119344,74.16073994576631,26.53907157929655,52.858811988516266,1.4942991265770451,682.3453072047196,,,43619,30448,3450,230,True,ac5e30a2e10f6e4b30d24332a4d5895782b5bb09f8f235b23815bdd7c1f0b0e8,elite,133.5
e5.6_f105,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,105,0.42216,101.74,1200,1200,0,,,,,,,,,,1.8170450809604477,644.1097928851417,644.1097928851417,1.952684459826416,285,0,0,0,False,,,129.2
e5.6_f109,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,109,0.42216,101.74,1200,1200,0,,,,,,,,,,1.8169827860386876,664.0610644391755,664.0610644391755,2.06831908529624,3823,0,2171,0,False,,,131.3
e5.6_f113,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,113,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7535478666238284,676.3462028828508,676.3462028828508,1.955304265486054,459,0,0,0,False,,,147.6
e5.6_f117,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,117,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7651974804793622,695.7081831266311,695.7081831266311,3.418989986005412,3579,0,1366,0,False,,,126.7
e5.6_f121,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,121,0.42216,101.74,1200,1200,0,,,,,,,,,,1.720775140739536,709.5193272196246,709.5193272196246,2.718533453739884,43619,631,1318,0,True,,,124.0
e5.8_f105,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,105,0.42293,101.925,1200,1200,0,,,,,,,,,,1.80811484167498,676.8818604165076,676.8818604165076,2.2588025604579727,285,0,0,0,False,,,133.1
e5.8_f109,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,109,0.42293,101.925,1200,1200,0,,,,,,,,,,1.7290394979941208,692.2946421231657,692.2946421231657,2.039230011980837,3823,321,2171,165,False,,,127.1
