cell,n,f_r,cbc_max,f_q,cyclen,ao_abs,cy_sd,cy_ceiling,p_at_8_fr
5-5.25_f101,60,0.8913988803149817,0.863851069741595,0.9279244234509589,0.5874965268130037,0.803940093116487,7.263749411441874,0.95909987403579,0.75
5-5.25_f109,60,0.9286597480716725,0.9469297026951933,0.9232564601278135,0.7563212003334261,0.8672104109711193,8.570311757586317,0.970277506486921,0.875
5-5.25_f117,66,0.9161256653793969,0.9637198622273252,0.9235987892704312,0.7981839056465924,0.8177747212022022,7.195129960981786,0.95834867887976,0.75
5-5.25_f125,59,0.8791770774912415,0.9737580362361193,0.8797779076563415,0.869491525423729,0.8852133255406196,8.08110060081083,0.9666934041756676,0.75
5-5.25_f133,32,0.9596774193548386,0.9534457478005866,0.9486803519061583,0.8013196480938416,0.8859970674486803,8.763487225002008,0.9715365368116645,0.75
5-5.25_f141,30,0.9030033370411568,0.9443826473859845,0.8496106785317018,0.6422691879866518,0.9065628476084538,10.35965401073907,0.9794656377073827,0.875
5.25-5.5_f101,30,0.7339265850945496,0.7446051167964404,0.8370230333249733,0.7730812013348164,0.8717321224261684,9.069768479220777,0.973376152452881,0.625
5.25-5.5_f109,33,0.8746657754010696,0.8292112299465242,0.8997326203208557,0.8252005347593584,0.8245320855614974,11.63044571248559,0.9836384183500936,0.875
5.25-5.5_f117,33,0.9114304812834225,0.9538770053475937,0.9538770053475937,0.938836898395722,0.9573792545559578,10.205254627716496,0.978852831330028,0.75
5.25-5.5_f125,30,0.8812013348164627,0.9332591768631814,0.9073311881709838,0.8687430478309233,0.8968739626084443,7.579810155640816,0.9623137810836773,0.75
5.25-5.5_f133,30,0.9532814238042269,0.9470522803114572,0.9652947719688543,0.9087875417130145,0.8442367810256625,13.533395813648855,0.9878642610968762,0.875
5.25-5.5_f141,30,0.9417130144605117,0.9243604004449388,0.9434927697441602,0.907007786429366,0.8936596218020022,13.991588272800037,0.9886371981937297,0.875
5.5-5.75_f101,60,0.8072797999444292,0.7624340094470689,0.8215615448735761,0.7065295915532094,0.7714750136200701,8.849820635643162,0.9720737390800368,0.625
5.5-5.75_f109,60,0.9340372325646015,0.8419005279244236,0.9292581272575716,0.6445123645457073,0.7717743174660142,7.103364664720517,0.9573118125654139,0.75
5.5-5.75_f117,30,0.9393703473413177,0.9301446051167965,0.9310344827586206,0.8634037819799777,0.7934141777875743,8.94912435077062,0.972673224222184,0.75
5.5-5.75_f125,60,0.9451514309530429,0.9526535148652404,0.9281467074187277,0.7578216171158656,0.8617283061930838,6.840401213379226,0.9541201050610606,0.625
5.5-5.75_f133,30,0.9550611790878754,0.9256952169076751,0.946162402669633,0.8335928809788653,0.7868743047830923,9.493199555763878,0.9756416629592952,0.875
5.5-5.75_f141,30,0.9452725250278088,0.9092324805339266,0.9492769744160177,0.839377085650723,0.9030033370411568,7.903637890167346,0.9652335105396965,0.75
5.75-6_f101,63,0.8620391705069125,0.9731662826420893,0.8689516129032258,0.7575844854070661,0.7017341738721566,9.687969488144823,0.9765885337463561,0.75
5.75-6_f109,46,0.9493061979648474,0.9074930619796484,0.9410422448350293,0.7766265803268578,0.6027262119503471,8.856435341860507,0.9721142758834282,0.75
5.75-6_f117,30,0.7472747497219132,0.8380422691879867,0.7739710789766406,0.8629588431590656,0.6454555607856851,5.868404333661185,0.9386723285635228,0.5
5.75-6_f125,50,0.8925330132052821,0.9765666266506603,0.9129891956782713,0.8338535414165665,0.8817214938185425,9.409937742280759,0.9752194260115407,0.75
5.75-6_f133,60,0.9180327868852461,0.9658794109474855,0.9061405946096138,0.8690747429841623,0.69461077904646,11.491404536277923,0.9832467598125866,0.625
5.75-6_f141,30,0.9203559510567296,0.8869855394883204,0.9003337041156841,0.7632925472747497,0.7820669755814145,8.491829939156565,0.9697422750736671,0.75
6-6.25_f101,63,0.9467165898617511,0.9777745775729646,0.9369239631336406,0.48732718894009225,0.6396149892966518,7.708087945284155,0.9635123023816473,0.75
6-6.25_f109,60,0.9274798555154212,0.9686023895526537,0.9222561822728537,0.6228396776882469,0.7835111716000589,7.710684412535774,0.963535975811499,0.75
6-6.25_f117,30,0.857174638487208,0.9879866518353726,0.8629588431590656,0.8104560622914349,0.884290186556664,7.863013503740143,0.9648859863207512,0.625
6-6.25_f125,30,0.8576195773081201,0.9372636262513905,0.8407119021134594,0.8206896551724139,0.874972191323693,7.12002397748772,0.9575028616855212,0.75
6-6.25_f133,30,0.9110122358175751,0.9888765294771968,0.9345939933259176,0.5408231368186874,0.7798420339723634,10.139610792497573,0.9785840144449557,0.75
6-6.25_f141,56,0.9479997950768115,0.9842105263157895,0.9472317156527682,0.5902255639097745,0.7642273684091093,8.13104940316339,0.9670879238812964,0.625
6.25-6.5_f101,30,0.921690767519466,0.9599555061179088,0.9154616240266963,0.7050055617352614,0.8483702355311332,9.331026234855187,0.9748091232959359,0.875
6.25-6.5_f109,33,0.9311497326203209,0.9809491978609627,0.9348262032085563,0.8519385026737968,0.8137377817330358,9.975555806991508,0.9778895232881701,0.625
6.25-6.5_f117,30,0.8558398220244716,0.9746384872080088,0.8620689655172413,0.8714126807563959,0.8396929632558345,10.780257077742723,0.9810068789756943,0.875
6.25-6.5_f125,30,0.9096774193548388,0.9648498331479423,0.9123470522803115,0.7699666295884315,0.8860956618464961,11.953978114232756,0.9844985372662071,0.75
6.25-6.5_f133,30,0.9492769744160177,0.9795328142380423,0.9439377085650723,0.9341490545050056,0.8761820056442703,13.587386746374573,0.987959355832443,0.875
6.25-6.5_f141,30,0.9452725250278088,0.9848720800889877,0.9555061179087875,0.8825361512791992,0.728587319243604,13.82713774547075,0.9883684706122849,0.875
